Bird Name,French Name,Image URL,Sound URL,Score,Difficulty,View Count,Latin Name
Bateleur,Bateleur des savanes,https://upload.wikimedia.org/wikipedia/commons/1/12/Bataleur_-_Kruger_National_park_%2837161617713%29.jpg,https://xeno-canto.org/940364/download,0,2,3168,Terathopius ecaudatus
Lesser Spotted Eagle,Aigle pomarin,https://upload.wikimedia.org/wikipedia/commons/4/44/%D7%A2%D7%99%D7%98_%D7%97%D7%95%D7%A8%D7%A9.jpg,https://xeno-canto.org/959210/download,0,3,1795,Clanga pomarina
Greater Spotted Eagle,Aigle criard,https://upload.wikimedia.org/wikipedia/commons/f/ff/Aquila_clanga_from_Tal_Chapar_Wildlife_Sanctuary.jpg,https://xeno-canto.org/608441/download,0,2,2189,Clanga clanga
Booted Eagle,Aigle botté,https://upload.wikimedia.org/wikipedia/commons/4/49/Booted_eagle_%28India%2C_2012%29.jpg,https://xeno-canto.org/976336/download,0,2,8699,Hieraaetus pennatus
Steppe Eagle,Aigle des steppes,https://upload.wikimedia.org/wikipedia/commons/4/45/Steppe_Eagle_Portrait.jpg,https://xeno-canto.org/879526/download,0,2,3137,Aquila nipalensis
Spanish Eagle,Aigle ibérique,https://upload.wikimedia.org/wikipedia/commons/e/e4/Aguila_Imperial_Entrando_Al_Posadero_%28125891767%29.jpeg,,0,2,3849,Aquila adalberti
Golden Eagle,Aigle royal,https://upload.wikimedia.org/wikipedia/commons/c/cc/015_Wild_Golden_Eagle_in_flight_at_Pfyn-Finges_%28Switzerland%29_Photo_by_Giles_Laurent.jpg,https://xeno-canto.org/937638/download,0,1,129421,Aquila chrysaetos
Bonelli's Eagle,Aigle de Bonelli,https://upload.wikimedia.org/wikipedia/commons/7/7f/Bonelli%27s_Eagle_-_Montsonis_-_Spain_S4E8373_%2824849913309%29.jpg,https://xeno-canto.org/792286/download,0,3,40,Aquila fasciata
Dark Chanting-Goshawk,Autour sombre,https://upload.wikimedia.org/wikipedia/commons/8/8d/Melierax_metabates_-Kapama_Game_Reserve%2C_South_Africa-8-4c.jpg,,0,3,383,Melierax metabates
Levant Sparrowhawk,Épervier à pieds courts,https://upload.wikimedia.org/wikipedia/commons/8/80/Accipiter_brevipes_1.jpg,https://xeno-canto.org/143001/download,0,3,827,Accipiter brevipes
