Latin Name,Score,Difficulty,Sound URL,Image URL,Bird Name,French Name,View Count
Chordeiles minor,0,2,https://xeno-canto.org/569822/download,https://upload.wikimedia.org/wikipedia/commons/e/eb/Common_Nighthawk_%2814428313550%29.jpg,Common Nighthawk,Engoulevent d'Amérique,7656
Caprimulgus ruficollis,0,3,https://xeno-canto.org/905834/download,https://upload.wikimedia.org/wikipedia/commons/8/8a/Caprimulgus_ruficollis_-Portugal-8.jpg,Red-necked Nightjar,Engoulevent à collier roux,1012
Caprimulgus europaeus,0,2,,https://upload.wikimedia.org/wikipedia/commons/c/c1/%C5%9Eivanxap%C3%AEnok.jpg,Eurasian Nightjar,Engoulevent d'Europe,31254
Caprimulgus aegyptius,0,3,https://xeno-canto.org/977386/download,https://upload.wikimedia.org/wikipedia/commons/8/82/Egyptian_nightjar.png,Egyptian Nightjar,Engoulevent du désert,398
Chaetura pelagica,0,2,https://xeno-canto.org/487256/download,https://upload.wikimedia.org/wikipedia/commons/6/6f/Chaetura_pelagica%2C_by_Lake_Erie%2C_Cleveland%2C_Ohio%2C_USA_339593191.jpg,Chimney Swift,Martinet ramoneur,3023
Hirundapus caudacutus,0,3,https://xeno-canto.org/508634/download,https://upload.wikimedia.org/wikipedia/commons/e/e8/White-throated_Needletail_0A2A6919.jpg,White-throated Needletail,Martinet épineux,1363
Tachymarptis melba,0,2,https://xeno-canto.org/980555/download,https://upload.wikimedia.org/wikipedia/commons/4/4d/%CE%92%CE%BF%CF%85%CE%BD%CE%BF%CF%83%CF%84%CE%B1%CF%87%CF%84%CE%AC%CF%81%CE%B1_Alpine_Swift_Tachymarptis_melba.jpg,Alpine Swift,Martinet à ventre blanc,7415
Apus apus,0,2,https://xeno-canto.org/941109/download,https://upload.wikimedia.org/wikipedia/commons/b/be/Apus_apus_-Barcelona%2C_Spain-8_%281%29.jpg,Common Swift,Martinet noir,49256
Apus unicolor,0,3,https://xeno-canto.org/521878/download,https://upload.wikimedia.org/wikipedia/commons/9/9f/Einfarbsegler.jpg,Plain Swift,Martinet unicolore,224
Apus pallidus,0,2,https://xeno-canto.org/972572/download,https://upload.wikimedia.org/wikipedia/commons/3/3f/Apus_pallidus_-Greece-8.jpg,Pallid Swift,Martinet pâle,2951
Apus pacificus,0,3,https://xeno-canto.org/915151/download,https://upload.wikimedia.org/wikipedia/commons/5/54/Pacific_Swift_%28cropped%29.jpg,Pacific Swift,Martinet de Sibérie,223
Apus affinis,0,3,https://xeno-canto.org/982333/download,https://upload.wikimedia.org/wikipedia/commons/f/f7/Little_swift%2C_Apus_affinis%2C_at_Kruger_National_Park%2C_South_Africa%2C_crop.jpg,Little Swift,Martinet des maisons,839
Apus horus,0,3,https://xeno-canto.org/438049/download,https://upload.wikimedia.org/wikipedia/commons/2/21/ApusHorus_RobertWienand.jpg,Horus Swift,Martinet horus,121
Apus caffer,0,3,https://xeno-canto.org/184180/download,https://upload.wikimedia.org/wikipedia/commons/8/8a/White-rumped_swift%2C_Apus_caffer%2C_at_Suikerbosrand_Nature_Reserve%2C_Gauteng%2C_South_Africa_%2823057155930%29%2C_crop.jpg,White-rumped Swift,Martinet cafre,598
Rallus limicola,0,3,https://xeno-canto.org/979245/download,https://upload.wikimedia.org/wikipedia/commons/2/2f/Virginia_rail_%2841109%29.jpg,Virginia Rail,Râle de Virginie,2
Rallus aquaticus,0,2,https://xeno-canto.org/982818/download,https://upload.wikimedia.org/wikipedia/commons/b/b3/Water_rail_2022_04_30_01.jpg,Water Rail,Râle d'eau,15811
Crex crex,0,2,https://xeno-canto.org/921308/download,https://upload.wikimedia.org/wikipedia/commons/7/76/Ruisr%C3%A4%C3%A4kk%C3%A4.JPG,Corn Crake,Râle des genêts,8709
Crex crex,0,3,https://xeno-canto.org/872294/download,https://upload.wikimedia.org/wikipedia/commons/b/ba/CrakeAfrican2%28byMarkTittley%29_cropped_and_mirrored.jpg,African Crake,Râle des prés,560
Porzana porzana,0,2,https://xeno-canto.org/924383/download,https://upload.wikimedia.org/wikipedia/commons/4/42/Porzana_porzana_6_%28Marek_Szczepanek%29.jpg,Spotted Crake,Marouette ponctuée,3603
Paragallinula angulata,0,3,https://xeno-canto.org/791485/download,https://upload.wikimedia.org/wikipedia/commons/d/d4/Lesser_moorhen_%28Paragallinula_angulata%29.jpg,Lesser Moorhen,Gallinule africaine,354
Gallinula chloropus,0,2,https://xeno-canto.org/991054/download,https://upload.wikimedia.org/wikipedia/commons/e/ee/Common_moorhen_%28Gallinula_chloropus%29_France.jpg,Eurasian Moorhen,Gallinule poule-d'eau,37817
Gallinula galeata,0,3,https://xeno-canto.org/470873/download,https://upload.wikimedia.org/wikipedia/commons/2/20/Common-gallinule-galapagos-casey-klebba.jpg,Common Gallinule,Gallinule d'Amérique,1569
Fulica atra,0,2,https://xeno-canto.org/971090/download,https://upload.wikimedia.org/wikipedia/commons/a/a0/%D0%9B%D1%8B%D1%81%D1%83%D1%85%D0%B0_%28Fulica_atra%29%2C_%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4.jpg,Eurasian Coot,Foulque macroule,50540
