Latin Name,Bird Name,French Name,Difficulty,View Count,URL anglais,URL français,Image Low,Image High,Sound URL,Score
Alaudala heinei,Turkestan Short-toed Lark,Alouette de Heine,3,1405,https://en.wikipedia.org/wiki/Turkestan_Short-toed_Lark,https://en.wikipedia.org/wiki/Turkestan_Short-toed_Lark,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Alaudala_heinei_-_Heinestummellerche_202746307.jpg/500px-Alaudala_heinei_-_Heinestummellerche_202746307.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8a/Alaudala_heinei_-_Heinestummellerche_202746307.jpg,https://xeno-canto.org/773176/download,0
Alaudala rufescens,Mediterranean Short-toed Lark,Alouette pispolette,3,632,https://en.wikipedia.org/wiki/Mediterranean_Short-toed_Lark,https://fr.wikipedia.org/wiki/Alouette_pispolette,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Calandrella_rufescens_-Canary_Islands_-Spain-8.jpg/500px-Calandrella_rufescens_-Canary_Islands_-Spain-8.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Calandrella_rufescens_-Canary_Islands_-Spain-8.jpg/1024px-Calandrella_rufescens_-Canary_Islands_-Spain-8.jpg,https://xeno-canto.org/981616/download,0
Alca torda,Razorbill,Petit Pingouin,2,2427,https://en.wikipedia.org/wiki/Razorbill,https://fr.wikipedia.org/wiki/Petit_Pingouin,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Razorbill_with_a_nice_catch.jpg/500px-Razorbill_with_a_nice_catch.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Razorbill_with_a_nice_catch.jpg/1024px-Razorbill_with_a_nice_catch.jpg,https://xeno-canto.org/929955/download,0
Alcedo atthis,Common Kingfisher,Martin-pêcheur d'Europe,3,42,https://en.wikipedia.org/wiki/Common_Kingfisher,https://fr.wikipedia.org/wiki/Martin-p%C3%AAcheur_d%27Europe,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Alcedo_atthis_-England-8_%28cropped%29.jpg/500px-Alcedo_atthis_-England-8_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Alcedo_atthis_-England-8_%28cropped%29.jpg/1024px-Alcedo_atthis_-England-8_%28cropped%29.jpg,https://xeno-canto.org/982037/download,0
Alectoris barbara,Barbary Partridge,Perdrix gambra,2,3471,https://en.wikipedia.org/wiki/Barbary_Partridge,https://fr.wikipedia.org/wiki/Perdrix_gambra,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Alectoris_barbara_Tenerife.jpg/500px-Alectoris_barbara_Tenerife.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Alectoris_barbara_Tenerife.jpg/1024px-Alectoris_barbara_Tenerife.jpg,https://xeno-canto.org/134392/download,0
Alectoris graeca,Rock Partridge,Perdrix bartavelle,2,19461,https://en.wikipedia.org/wiki/Rock_Partridge,https://fr.wikipedia.org/wiki/Perdrix_bartavelle,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Steinhuhn_Alectoris_graeca.jpg/500px-Steinhuhn_Alectoris_graeca.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Steinhuhn_Alectoris_graeca.jpg/1024px-Steinhuhn_Alectoris_graeca.jpg,https://xeno-canto.org/951745/download,0
Alectoris rufa,Red-legged Partridge,Perdrix rouge,2,17193,https://en.wikipedia.org/wiki/Red-legged_Partridge,https://fr.wikipedia.org/wiki/Perdrix_rouge,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Perdrix_rouge.jpg/500px-Perdrix_rouge.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Perdrix_rouge.jpg/1024px-Perdrix_rouge.jpg,https://xeno-canto.org/961521/download,0
Alle alle,Dovekie,Mergule nain,2,4831,https://en.wikipedia.org/wiki/Dovekie,https://fr.wikipedia.org/wiki/Mergule_nain,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Krabbentaucher_Sommer_2023.jpg/500px-Krabbentaucher_Sommer_2023.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Krabbentaucher_Sommer_2023.jpg/1024px-Krabbentaucher_Sommer_2023.jpg,https://xeno-canto.org/911165/download,0
Alopochen aegyptiaca,Egyptian Goose,Ouette d'Égypte,2,34871,https://en.wikipedia.org/wiki/Egyptian_Goose,https://fr.wikipedia.org/wiki/Ouette_d%27%C3%89gypte,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Egyptian_Goose_JG.jpg/500px-Egyptian_Goose_JG.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Egyptian_Goose_JG.jpg/1024px-Egyptian_Goose_JG.jpg,https://xeno-canto.org/980649/download,0
Amandava amandava,Red Avadavat,Bengali rouge,2,3000,https://en.wikipedia.org/wiki/Red_Avadavat,https://fr.wikipedia.org/wiki/Bengali_rouge,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/A_pair_of_Red_avadavat_%28Amandava_amandava%29_Photograph_by_Shantanu_Kuveskar.jpg/500px-A_pair_of_Red_avadavat_%28Amandava_amandava%29_Photograph_by_Shantanu_Kuveskar.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7c/A_pair_of_Red_avadavat_%28Amandava_amandava%29_Photograph_by_Shantanu_Kuveskar.jpg,https://xeno-canto.org/972682/download,0
